danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
0.716,0.904,11,-3.312,0,0.142,0.228,4.22e-05,0.319,0.795,139.942,7zM2vaJMUVlwffYmEbXCsO,spotify:track:7zM2vaJMUVlwffYmEbXCsO,189067,4,1,"Movidito, Movidito",['cuarteto'],Sebastian
0.504,0.692,9,-4.595,0,0.0506,0.229,0.0,0.0683,0.384,176.039,2sb31nQbx4QnFD9FQv2D28,spotify:track:2sb31nQbx4QnFD9FQv2D28,168840,3,1,La Ley Y La Trampa,"['cumbia villera', 'folclore salteno', 'folklore argentino']",Chaqueño Palavecino
0.346,0.89,0,-4.388,0,0.0429,0.116,0.000133,0.368,0.635,135.11,6DEZMZwxrSPDWssNBQbIS8,spotify:track:6DEZMZwxrSPDWssNBQbIS8,296400,4,1,Testigo,['latintronica'],Combo Chimbita
0.373,0.588,4,-10.385,0,0.0759,0.0333,0.0264,0.103,0.365,149.084,24bl7udyFxIGgMVxTKzKJP,spotify:track:24bl7udyFxIGgMVxTKzKJP,336133,4,1,No Regreso,['latintronica'],Combo Chimbita
0.672,0.453,11,-7.896,0,0.0557,0.269,2.44e-06,0.138,0.674,83.123,51dNexiESqcJLsGLrmg1Nv,spotify:track:51dNexiESqcJLsGLrmg1Nv,267827,4,1,Cómo Te Voy A Olvidar,"['grupera', 'gruperas inmortales', 'nu-cumbia', 'regional mexican']",Los Ángeles Azules
0.786,0.604,0,-7.608,0,0.0413,0.221,0.0166,0.063,0.81,97.461,1Vy7WUJubV9JEoebuJ9dfe,spotify:track:1Vy7WUJubV9JEoebuJ9dfe,209507,4,1,Más Que Tu Amigo,"['grupera', 'latin', 'latin pop', 'regional mexican']",Marco Antonio Solís
0.83,0.868,7,-3.78,1,0.0585,0.197,1.29e-06,0.159,0.898,87.422,6UhA9om01c39JQAT17rtQn,spotify:track:6UhA9om01c39JQAT17rtQn,244653,4,1,Que Calor,"['cumbia chilena', 'cumbia paraguaya', 'cumbia villera']",Supermerk2
0.772,0.806,0,-5.308,1,0.0668,0.219,1.78e-05,0.138,0.765,134.98,48yRazqbGXUfSpGiTPNw0r,spotify:track:48yRazqbGXUfSpGiTPNw0r,212062,3,1,Una Calle Nos Separa,"['cumbia paraguaya', 'cumbia pop', 'cumbia villera']",Nestor En Bloque
0.671,0.807,7,-5.533,0,0.0691,0.228,0.0,0.137,0.931,180.554,3m6havHCZHEHBOG6E10nF5,spotify:track:3m6havHCZHEHBOG6E10nF5,177667,4,1,Cumbia Sobre el Mar,"['cumbia pop', 'cumbia santafesina', 'cumbia villera']",Los Palmeras
0.588,0.888,11,-5.172,1,0.05,0.158,0.0115,0.0919,0.585,100.955,5JoNNlaxWmm78vS9BBBuJI,spotify:track:5JoNNlaxWmm78vS9BBBuJI,200867,4,1,Juegos de Seducción,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']",Soda Stereo
0.774,0.615,2,-7.614,0,0.0314,0.181,0.0107,0.141,0.703,136.851,4UXE0ZLGIoLUOFqTECzoQe,spotify:track:4UXE0ZLGIoLUOFqTECzoQe,273307,4,1,Pronta Entrega,"['argentine rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",Virus
0.713,0.682,9,-8.649,0,0.0784,0.18,0.0258,0.195,0.252,177.314,1qWLCuCnNcQVVzJm4pu7Zv,spotify:track:1qWLCuCnNcQVVzJm4pu7Zv,316427,4,1,Luna de Miel en la Mano,"['argentine rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",Virus
0.72,0.784,0,-7.905,1,0.103,0.075,0.108,0.0482,0.963,162.362,6P6rudfmKr7FyArdyEs0Mk,spotify:track:6P6rudfmKr7FyArdyEs0Mk,263200,4,1,No Me Dejan Salir,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",Charly García
0.616,0.701,1,-8.467,1,0.0629,0.00321,0.0,0.39,0.411,78.983,29iIRrSuANyjnwag69PHOJ,spotify:track:29iIRrSuANyjnwag69PHOJ,135973,4,1,Demoliendo Hoteles,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",Charly García
0.839,0.448,5,-15.116,1,0.0389,0.0087,0.019,0.0606,0.919,131.698,7cwtDwkH0PHHQmfbkZM8Ox,spotify:track:7cwtDwkH0PHHQmfbkZM8Ox,313840,4,1,Es Por Amor,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",GIT
0.58,0.929,4,-4.849,0,0.0388,0.0629,0.000223,0.23,0.884,94.995,0dsViRiDTIuexAL42Nc1Kh,spotify:track:0dsViRiDTIuexAL42Nc1Kh,156198,4,1,Irresponsables,"['argentine rock', 'electronica argentina', 'latin alternative', 'latin rock', 'pop electronico', 'rock en espanol']",Babasónicos
0.629,0.866,9,-5.491,1,0.0355,0.0591,0.0558,0.109,0.952,137.011,49TvST0pVJdZ1ZztrT7DnQ,spotify:track:49TvST0pVJdZ1ZztrT7DnQ,187478,4,1,Y qué,"['argentine rock', 'electronica argentina', 'latin alternative', 'latin rock', 'pop electronico', 'rock en espanol']",Babasónicos
0.586,0.71,0,-6.124,1,0.0308,0.406,0.000326,0.0874,0.384,128.362,3L55aSsDkT5ojgy3WXjh7s,spotify:track:3L55aSsDkT5ojgy3WXjh7s,187133,4,1,Risa,"['argentine rock', 'electronica argentina', 'latin alternative', 'latin rock', 'pop electronico', 'rock en espanol']",Babasónicos
0.687,0.387,11,-9.842,0,0.0273,0.203,0.000335,0.0913,0.602,112.722,2jEjxOyKqMpkcThWl697hf,spotify:track:2jEjxOyKqMpkcThWl697hf,185826,4,1,El Loco,"['argentine rock', 'electronica argentina', 'latin alternative', 'latin rock', 'pop electronico', 'rock en espanol']",Babasónicos
0.387,0.972,7,-2.84,0,0.101,0.565,4.83e-06,0.0921,0.839,192.392,6mOZfn6CVXsX1Tt0l3thm3,spotify:track:6mOZfn6CVXsX1Tt0l3thm3,285093,4,1,Sin documentos,"['argentine rock', 'cantautor', 'latin alternative', 'latin rock', 'rock en espanol', 'spanish pop']",Los Rodriguez
0.615,0.833,2,-5.377,1,0.0292,0.19,0.696,0.463,0.731,126.519,5wjiZSbxaLyLpGimpwqh1H,spotify:track:5wjiZSbxaLyLpGimpwqh1H,345533,4,1,En la Ciudad de la Furia,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']",Soda Stereo
0.574,0.938,4,-4.98,0,0.0466,0.0164,4.76e-05,0.0804,0.512,100.93,4iPA2yB8bK7T770EkkOi7s,spotify:track:4iPA2yB8bK7T770EkkOi7s,295000,4,1,Persiana Americana,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']",Soda Stereo
0.603,0.65,0,-6.615,0,0.0322,0.649,0.0,0.133,0.621,135.985,0VBzcXHicbz36GX1eDqgRt,spotify:track:0VBzcXHicbz36GX1eDqgRt,221520,4,1,Amor Secreto,['cuarteto'],La Mona Jimenez
0.567,0.655,9,-6.885,1,0.0286,0.537,0.0,0.072,0.783,141.961,5IAaWy1dZvKxX9b1muCvMV,spotify:track:5IAaWy1dZvKxX9b1muCvMV,228520,4,1,Para Volver,['cuarteto'],La Mona Jimenez
0.64,0.585,10,-7.084,0,0.0531,0.512,0.0,0.21,0.674,136.111,2TagDkfqDgqSCBY6k823s2,spotify:track:2TagDkfqDgqSCBY6k823s2,250027,4,1,Oh Señor,['cuarteto'],La Mona Jimenez
0.639,0.855,5,-4.92,0,0.0653,0.455,0.0,0.233,0.745,155.959,0c0sJHmjJGQgQAD2bPkVk5,spotify:track:0c0sJHmjJGQgQAD2bPkVk5,198763,4,1,Besame,['cuarteto'],La Mona Jimenez
0.679,0.63,7,-6.207,0,0.0283,0.111,0.0,0.0423,0.711,100.087,20aVSAxv2YvRHYlB4kk1E5,spotify:track:20aVSAxv2YvRHYlB4kk1E5,270146,4,3,Y se murió de amor,['cuarteto'],La Mona Jimenez
0.659,0.87,7,-5.216,1,0.0872,0.29,0.0,0.213,0.633,151.179,4g4iKJ37XZrOVSNzEqI1PE,spotify:track:4g4iKJ37XZrOVSNzEqI1PE,184360,4,2,Ese guaso,['cuarteto'],La Mona Jimenez
0.457,0.773,2,-6.957,1,0.233,0.453,0.0,0.729,0.402,154.012,1ql24CwT4y5pZjAJRhpY5a,spotify:track:1ql24CwT4y5pZjAJRhpY5a,272640,4,3,Solo tú,['cuarteto'],La Mona Jimenez
0.529,0.83,9,-5.835,0,0.0685,0.083,0.0,0.932,0.748,153.208,1QZ5uqBDf91CsilGfbdV1H,spotify:track:1QZ5uqBDf91CsilGfbdV1H,222000,4,3,Mujer y amante,['cuarteto'],La Mona Jimenez
0.635,0.932,7,-4.579,0,0.0551,0.0614,0.0,0.325,0.765,158.169,6jeLIi9FBD9RngKkB0dA9p,spotify:track:6jeLIi9FBD9RngKkB0dA9p,177387,4,1,La enamorada,['cuarteto'],La Mona Jimenez
