,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature,track_name,artist_name,most_common_genre,min_lyrics_sentiment,max_lyrics_sentiment,avg_lyrics_sentiment
91,0.669,0.879,11,-5.968,1,0.0977,0.281,0.0,0.657,150.179,303253,4,Beso a beso,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
92,0.627,0.6659999999999999,6,-9.257,0,0.0415,0.456,0.0,0.607,150.037,238960,4,La mujer de él,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
93,0.644,0.753,0,-8.465,0,0.11,0.235,0.0,0.7190000000000001,146.809,245880,4,Mi querida ma!,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
94,0.527,0.888,4,-5.547000000000001,1,0.161,0.153,0.0,0.6970000000000001,74.994,225467,4,Despierta corazón,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
95,0.5489999999999999,0.858,8,-6.22,1,0.126,0.0896,0.0,0.578,148.189,184147,4,Visita fantasma,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
96,0.486,0.956,5,-6.349,1,0.253,0.162,0.0,0.65,144.958,193160,4,Paloma loca,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
97,0.48700000000000004,0.8690000000000001,0,-6.071000000000001,1,0.0925,0.48700000000000004,0.0,0.563,150.07,265600,4,28 de diciembre,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
98,0.375,0.698,7,-6.702000000000001,0,0.0573,0.19699999999999998,0.0,0.613,82.135,329507,4,Corren corren los segundos,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
99,0.504,0.9470000000000001,4,-6.941,0,0.233,0.113,0.0,0.664,146.039,331160,4,Ramito de violetas,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
100,0.607,0.828,5,-5.622000000000001,0,0.12300000000000001,0.409,0.0,0.731,151.037,273560,4,Nuestro estilo cordobés,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
101,0.524,0.94,0,-5.912999999999999,1,0.0959,0.157,0.0,0.706,148.004,238427,4,Amor de mañana,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
102,0.507,0.877,2,-5.962999999999999,0,0.22399999999999998,0.35,0.0,0.596,150.009,302187,4,El bohemio,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
103,0.42100000000000004,0.914,4,-6.5920000000000005,0,0.434,0.309,0.0,0.503,149.881,334160,4,Qué tal Pascual / Un día te dije,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
104,0.653,0.449,8,-14.334000000000001,1,0.059000000000000004,0.0477,0.0,0.611,135.084,259573,4,Lo Que Ha Pasado Anoche,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
105,0.748,0.595,2,-13.729000000000001,0,0.0473,0.252,0.0,0.9279999999999999,136.957,230133,4,Jaque Mate,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
